transactiondate;time;category;type;amount;balance;bonusValue
01.01.2025;00:15;Кэшбек;Пополнение;56625.13;4012930.81;0
01.01.2025;10:34;Транспорт;Списание;2902.44;6556182.59;0
01.01.2025;05:39;Кэшбек;Пополнение;9808.8;7301735.0;0
01.01.2025;11:09;Перевод СБП;Пополнение;44918.64;457645.75;0
01.02.2025;01:38;Здоровье и красота;Списание;726.07;3956870.13;+7.26
01.02.2025;18:58;Рестораны и кафе;Списание;1257.88;2554779.54;0
01.03.2025;08:04;Прочие расходы;Списание;3471.8;4273599.11;+34.72
01.03.2025;08:47;Транспорт;Списание;2399.12;4859672.46;0
01.03.2025;04:09;Зарплата;Пополнение;21167.66;2219750.18;0
01.03.2025;23:23;Супермаркеты;Списание;4480.73;6740009.54;0
01.03.2025;18:19;Рестораны и кафе;Списание;3971.52;7988553.6;0
01.03.2025;09:50;Супермаркеты;Списание;3756.84;8388024.81;+37.57
01.04.2025;19:15;Рестораны и кафе;Списание;4202.52;3212737.72;+42.03
01.05.2025;22:28;Кэшбек;Пополнение;6494.71;3213878.15;0
01.06.2025;08:28;Кэшбек;Пополнение;54078.13;7673133.28;0
01.06.2025;09:48;Зарплата;Пополнение;12771.39;564086.51;0
01.06.2025;09:39;Кэшбек;Пополнение;48833.72;9996760.74;0
01.07.2025;08:48;Супермаркеты;Списание;3111.94;3872983.11;+31.12
01.07.2025;12:50;Супермаркеты;Списание;4273.61;135750.92;+42.74
01.07.2025;15:54;Супермаркеты;Списание;2631.96;2847150.68;0
01.07.2025;21:39;Зарплата;Пополнение;32112.34;7853169.63;0
01.08.2025;23:46;Транспорт;Списание;2019.22;184652.71;+20.19
01.08.2025;02:08;Прочие расходы;Списание;4018.01;6665918.33;0
01.09.2025;21:35;Здоровье и красота;Списание;2538.28;518347.41;+25.38
01.10.2025;19:33;Зарплата;Пополнение;30261.48;5399036.12;0
01.10.2025;23:53;Кэшбек;Пополнение;30239.03;4705918.18;0
01.10.2025;13:35;Транспорт;Списание;1498.06;2173625.33;+14.98
01.11.2025;18:42;Транспорт;Списание;1458.12;7036919.54;0
01.11.2025;13:14;Рестораны и кафе;Списание;4918.24;5086423.75;+49.18
01.12.2025;15:43;Перевод СБП;Пополнение;16392.39;2198582.52;0
01.12.2025;04:29;Супермаркеты;Списание;247.04;8591090.99;+2.47
02.01.2025;15:22;Прочие расходы;Списание;1119.97;9519941.2;+11.2
02.01.2025;09:29;Транспорт;Списание;1979.13;7749035.28;0
02.01.2025;17:59;Рестораны и кафе;Списание;2974.93;7136372.48;0
02.02.2025;09:00;Супермаркеты;Списание;4434.83;2603466.66;0
02.02.2025;15:28;Прочие расходы;Списание;3669.71;2798993.39;+36.7
02.02.2025;01:56;Зарплата;Пополнение;37102.42;6871409.02;0
02.03.2025;16:13;Здоровье и красота;Списание;3607.45;3210270.7;+36.07
02.03.2025;06:09;Перевод СБП;Пополнение;3276.59;5430749.25;0
02.04.2025;13:01;Рестораны и кафе;Списание;4593.99;3355652.39;+45.94
02.04.2025;18:54;Прочие расходы;Списание;1159.21;3436698.95;+11.59
02.04.2025;01:43;Здоровье и красота;Списание;4853.39;6883141.35;0
02.04.2025;23:35;Транспорт;Списание;4427.41;6429638.59;0
02.05.2025;16:59;Перевод СБП;Пополнение;23736.51;2311670.91;0
02.06.2025;15:18;Транспорт;Списание;123.21;3578940.28;+1.23
02.06.2025;23:34;Рестораны и кафе;Списание;1635.1;4964235.19;+16.35
02.07.2025;21:27;Кэшбек;Пополнение;46252.74;8948878.82;0
02.07.2025;09:02;Кэшбек;Пополнение;12553.0;2413874.42;0
02.07.2025;14:34;Здоровье и красота;Списание;4484.14;2830380.23;+44.84
02.07.2025;21:09;Прочие расходы;Списание;1102.94;5429646.31;0
02.08.2025;06:54;Рестораны и кафе;Списание;587.24;5308480.93;0
02.08.2025;19:56;Зарплата;Пополнение;3908.9;6834306.6;0
02.08.2025;01:14;Транспорт;Списание;1775.46;7602396.42;+17.75
02.09.2025;10:20;Перевод СБП;Пополнение;50458.24;2734004.72;0
02.09.2025;06:24;Перевод СБП;Пополнение;57586.44;9772536.48;0
02.10.2025;19:24;Кэшбек;Пополнение;47439.58;9927350.9;0
02.10.2025;02:57;Транспорт;Списание;1051.5;3577888.78;+10.52
02.10.2025;06:30;Зарплата;Пополнение;26668.39;7499708.74;0
02.11.2025;08:26;Кэшбек;Пополнение;2756.78;3086914.48;0
02.11.2025;07:32;Зарплата;Пополнение;44961.09;4861427.89;0
02.11.2025;21:12;Кэшбек;Пополнение;52258.64;6048390.7;0
02.11.2025;06:36;Супермаркеты;Списание;1593.86;3530453.54;0
02.12.2025;12:25;Супермаркеты;Списание;289.79;4378645.28;0
02.12.2025;01:50;Транспорт;Списание;4369.82;8195157.35;0
02.12.2025;07:05;Кэшбек;Пополнение;2703.68;1557639.93;0
02.12.2025;23:55;Кэшбек;Пополнение;37105.27;3054200.82;0
03.01.2025;10:37;Зарплата;Пополнение;42476.79;4585775.96;0
03.01.2025;16:32;Кэшбек;Пополнение;55594.18;5727630.85;0
